wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080003,0800030007,2019,2019/10/15,24.06619476,6.43599987,69500,544.4324341,0,62.39034271,0,0,6.893917084,211.4124908,332.1377563,52.33953094,0,0,0,0,602.5878906,33.39480209,0,0,0,111.5084839,23.78782845,445.4278564,153.8512268,254.5652618,0,2.13304019,412.4222107,8167.879883,47.47772598,319.5715637,0,42346000,42346000,47275183.11
080004,0800040001,2019,2019/10/15,10.88077043,3.327272654,41801,221.3982086,0,29.14500237,0,0,0,65.72061157,108.7588043,16.93535805,0,0,0,0,170.4086456,11.74184132,0,0,0,52.59078217,6.997741699,158.4691772,54.804039,117.5421829,0,6.970586777,158.0176239,2956.013916,22.40993309,126.1741409,0,7106000,7106000,17922498.67
080006,0800060001,2019,2019/10/15,44.1469728,5.725532055,202207,916.2216187,33.13598633,167.2141571,0,0,0,281.3998718,409.5742493,52.16540146,0,0,0,0,105.0528564,2.875716925,0,0,0,189.2807465,0,770.3121338,159.3911591,548.362793,0,58.13797379,821.4243164,16512.68359,99.21683502,607.1707764,0,123237000,123237000,48692334.42
120003,1200030001,1993,1993/8/12,105.2719819,0.856862783,324556,23.40320969,2481.416016,0,633.9603882,221.1381836,41.1845932,0,1484.796997,103.6309052,0,816.9825439,2922.806396,1506.109131,0,0,0,539.4343262,151.5209656,0,0,853.4216919,0,0,3617.174072,0,0,0,481.6000061,839.0186768,0,52413000,52413000,32362833.32
120003,1200030003,1993,1993/8/12,24.10925522,1.129166603,146641,9.067744255,544.1724243,0,140.8166504,57.2772522,19.02028656,0,329.1511841,25.11293983,0,262.6266174,930.005188,382.258667,0,0,0,131.7501068,47.55049896,0.512456417,0,207.8899384,0,0,927.1029053,0,0,0,125.1020584,233.7248688,0,84074000,84074000,32473528.61
120009,1200090001,1993,1993/8/12,71.52534661,1.156337857,412990,0,2706.993652,0,565.3751221,194.2515259,0,0,885.7466431,51.29262161,0,1504.21814,2250.109863,1472.222046,0,0,0,459.7724609,18.26263046,46.99536514,0,511.1199951,0,0,2999.678467,47.56948471,75.46379089,0,279.3690796,943.2588501,0,22165000,22165000,31864608.52
120009,1200090005,1993,1993/8/12,7.706059763,2.974999905,22843,0,275.0991821,0,69.16159821,20.28620148,1.856908202,3.251859188,96.71089172,8.773984909,0,179.441803,251.9039307,171.0605621,0,0,0,42.63278198,8.091402054,3.561020374,0.545176268,72.92721558,0.528905571,0,280.5867615,6.527000904,11.31877422,0,29.81162071,123.7737732,0,22775000,22775000,33531586.69
120009,1200090009,1993,1993/8/12,23.59907291,1.077272773,86782,0,817.1589966,0,190.3755493,64.87689209,0,0,278.9247437,21.25152016,0,427.2379761,571.8237915,461.1547546,0,0,0,154.0895233,3.569901705,20.85184097,0,139.8362427,0,0,1045.313477,20.5347538,22.17243958,0,105.0710678,288.0106506,0,20920000,20920000,31324046.65
120009,1200090012,1993,1993/8/12,20.70832678,2.121052504,93503,0,718.3665771,0,153.2776642,53.63611603,0,0,237.9550781,15.47261143,0,401.0987854,625.4429932,402.9075317,0,0,0,131.8067322,8.793206215,15.00346947,0,135.2008057,0,0,849.6939087,13.7571516,20.00469589,0,80.01958466,257.1530762,0,126953000,126953000,31727111.86
120009,1200090015,1993,1993/8/12,11.02689129,1.919999838,7198,0,387.6076965,0,75.83827972,26.13395882,0,0,124.1370087,5.570447922,0,227.1137085,364.5993042,210.1159973,0,0,0,62.43743134,3.762958288,5.032432556,0,79.00205994,0,0,393.3748169,5.199411392,11.25450993,0,34.677742,137.254364,0,57710000,57710000,32386967.87
